VALUE,Longitude,Latitude
1.00000000,77.1080542,28.8500178
1.00000000,77.1081566,28.8500162
1.00000000,77.1084640,28.8500114
1.00000000,77.1085664,28.8500098
1.00000000,77.1091811,28.8500002
1.00000000,77.1116400,28.8499617
1.00000000,77.1119473,28.8499569
1.00000000,77.2110143,28.8483685
1.00000000,77.2111167,28.8483668
1.00000000,77.2112192,28.8483651
1.00000000,77.2113216,28.8483634
1.00000000,77.2114241,28.8483617
1.00000000,77.2115265,28.8483601
1.00000000,77.2119363,28.8483533
1.00000000,77.1182975,28.8497670
1.00000000,77.2111148,28.8482766
1.00000000,77.2112173,28.8482749
1.00000000,77.2113197,28.8482732
1.00000000,77.2114222,28.8482716
1.00000000,77.2115246,28.8482699
1.00000000,77.2120368,28.8482615
1.00000000,77.1181932,28.8496784
1.00000000,77.1182957,28.8496768
1.00000000,77.1186030,28.8496720
1.00000000,77.2112154,28.8481847
1.00000000,77.2113178,28.8481830
1.00000000,77.2114203,28.8481814
1.00000000,77.2115227,28.8481797
1.00000000,77.2121374,28.8481696
1.00000000,77.1090732,28.8497312
1.00000000,77.1125566,28.8496766
1.00000000,77.1126590,28.8496750
1.00000000,77.1127615,28.8496734
1.00000000,77.2112135,28.8480945
1.00000000,77.2113159,28.8480928
1.00000000,77.2114184,28.8480912
1.00000000,77.2115208,28.8480895
1.00000000,77.1090714,28.8496410
1.00000000,77.1100959,28.8496249
1.00000000,77.1115302,28.8496025
1.00000000,77.1124523,28.8495880
1.00000000,77.2113140,28.8480026
1.00000000,77.2114164,28.8480010
1.00000000,77.2115189,28.8479993
1.00000000,77.2114145,28.8479108
1.00000000,77.2115170,28.8479091
1.00000000,77.1179810,28.8493208
1.00000000,77.2115151,28.8478189
1.00000000,77.2123346,28.8478055
1.00000000,77.1178767,28.8492322
1.00000000,77.2115132,28.8477287
1.00000000,77.2122303,28.8477169
1.00000000,77.2123327,28.8477153
1.00000000,77.2124351,28.8477136
1.00000000,77.2116137,28.8476368
1.00000000,77.2122284,28.8476267
1.00000000,77.2123308,28.8476251
1.00000000,77.2124332,28.8476234
1.00000000,77.2117142,28.8475450
1.00000000,77.2122264,28.8475366
